################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.7959838610129679E-02 a       413     0    21     1    13
  3.5611324654514387E-01 a       414     0    21     1    14
  1.2901660007776164E-01 a       415     0    21     1    15
 -1.3154297741360496E-01 a       416     0    21     1    16
  1.1821362571588561E-02 a       417     0    21     1    17
 -1.2297720633606658E-01 a       418     0    21     1    18
  1.1187181090396738E-01 a       419     0    21     1    19
 -2.8020616864282000E-01 a       420     0    21     1    20
  1.4816439311404715E-02 a       421     0    22     1     1
 -2.3799794342055566E-01 a       422     0    22     1     2
 -2.5878929008885876E-01 a       423     0    22     1     3
  3.9613486992458774E-01 a       424     0    22     1     4
 -3.2425512948942675E-01 a       425     0    22     1     5
 -1.8232675005750096E-01 a       426     0    22     1     6
 -1.4780028421656982E-01 a       427     0    22     1     7
  2.1847259039645604E-02 a       428     0    22     1     8
  2.6759783390833347E-01 a       429     0    22     1     9
 -6.5061234841800902E-02 a       430     0    22     1    10
  6.1296545810292306E-02 a       431     0    22     1    11
 -1.8915983559757052E-01 a       432     0    22     1    12
 -1.2484901994254599E-01 a       433     0    22     1    13
  2.1751323503558273E-01 a       434     0    22     1    14
 -1.8105884511650039E-01 a       435     0    22     1    15
  3.1641943767778952E-01 a       436     0    22     1    16
 -2.8590261163242875E-01 a       437     0    22     1    17
 -2.2751133907853113E-01 a       438     0    22     1    18
  5.7426640872401943E-02 a       439     0    22     1    19
 -3.9113229409114027E-02 a       440     0    22     1    20
 -4.7556398257213200E-01 a       441     0    23     1     1
 -1.4068560862859590E-02 a       442     0    23     1     2
 -2.4588026838151852E-01 a       443     0    23     1     3
 -8.8414877876237627E-02 a       444     0    23     1     4
  3.6108495288434100E-01 a       445     0    23     1     5
 -1.8562745234935635E-02 a       446     0    23     1     6
  2.6351797185639569E-01 a       447     0    23     1     7
  7.9525473940792180E-02 a       448     0    23     1     8
  2.5723797739261889E-01 a       449     0    23     1     9
 -5.1306440384188773E-02 a       450     0    23     1    10
 -8.2158204128328124E-02 a       451     0    23     1    11
  1.6550312522110500E-01 a       452     0    23     1    12
  2.7949734659456232E-01 a       453     0    23     1    13
 -1.6597610162407372E-01 a       454     0    23     1    14
 -3.6393916769491186E-01 a       455     0    23     1    15
 -9.9882397125438588E-02 a       456     0    23     1    16
 -1.7907858129098664E-01 a       457     0    23     1    17
 -2.8092162124364312E-01 a       458     0    23     1    18
 -1.2003943567145685E-01 a       459     0    23     1    19
 -2.4983065270415142E-01 a       460     0    23     1    20
 -3.1758251679320698E-02 a       461     0    24     1     1
 -1.8189144687203282E-01 a       462     0    24     1     2
  2.5654388916150089E-01 a       463     0    24     1     3
  6.0841688920866895E-02 a       464     0    24     1     4
 -1.1265616921562002E-01 a       465     0    24     1     5
  4.8231087878542016E-02 a       466     0    24     1     6
  6.8768538657158859E-02 a       467     0    24     1     7
 -7.8721192466139941E-02 a       468     0    24     1     8
 -1.8914669539863788E-01 a       469     0    24     1     9
  3.2939967239935447E-01 a       470     0    24     1    10
  8.4723833724091480E-02 a       471     0    24     1    11
  2.3171763174065338E-01 a       472     0    24     1    12
  1.2120673114143203E-01 a       473     0    24     1    13
 -1.6215790278541484E-01 a       474     0    24     1    14
  4.3957426121587795E-01 a       475     0    24     1    15
  3.3784764591742095E-01 a       476     0    24     1    16
  4.5765068116664104E-01 a       477     0    24     1    17
 -1.6132614463697392E-01 a       478     0    24     1    18
 -2.4099888444563150E-01 a       479     0    24     1    19
  1.4074849284391136E-01 a       480     0    24     1    20
 -1.0108245020542592E-01 a       481     0    25     1     1
 -1.0031136128210827E-01 a       482     0    25     1     2
 -2.4590055345943462E-01 a       483     0    25     1     3
 -2.1389778237489054E-01 a       484     0    25     1     4
 -1.1488327516466025E-01 a       485     0    25     1     5
 -2.1127145381668547E-01 a       486     0    25     1     6
 -1.4493869096694903E-01 a       487     0    25     1     7
  1.7195389893273685E-01 a       488     0    25     1     8
 -2.1055432133194404E-01 a       489     0    25     1     9
  4.2115467006718657E-02 a       490     0    25     1    10
 -5.0682062658256732E-01 a       491     0    25     1    11
  2.5862630526856750E-01 a       492     0    25     1    12
  1.0108433364537543E-01 a       493     0    25     1    13
 -3.6304283269778043E-01 a       494     0    25     1    14
  2.3998723449201367E-01 a       495     0    25     1    15
  1.4593454691262264E-01 a       496     0    25     1    16
 -1.2289095626734925E-01 a       497     0    25     1    17
  1.9159429853390963E-01 a       498     0    25     1    18
  3.6881548987620366E-01 a       499     0    25     1    19
  3.5323106009536165E-01 a       500     0    25     1    20
  1.9789949245224039E-01 a       501     0    26     1     1
 -5.4497129059631701E-02 a       502     0    26     1     2
